Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
LEVE30,"SP Distribution",0.97,43.6,41.1,0,"LEVE1Q / LEVE1R"
LING30,"SP Distribution",0.97,72.8,64.9,0,"LING1Q / LING1R"
LINM30,"SP Distribution",0.94,55.4,41.3,20,LINM20
MAYB30,"SP Distribution",0.96,24.7,19.8,1,MAYB10
NEAR30,"SP Distribution",0.98,86.3,83.8,4,NEAR20
NETS30,"SP Distribution",0.89,12.4,10.3,0,NETS10
PART30,"SP Distribution",0.98,50.6,46.4,0,"PART1Q / PART1R"
POOB30,"SP Distribution",0.97,89.4,84.4,3,"POOB2Q / POOB2R"
PORD30,"SP Distribution",0.98,86.3,76.5,0,"PORD2Q / PORD2R"
RAVE30,"SP Distribution",1,23.6,8.9,0,"RAVE2Q / RAVE2R"
REDH30,"SP Distribution",0.98,46.5,43,0,REDH10
SACO3A,"SP Distribution",0.93,43.5,36.5,12,"SACO1Q / SACO1R"
SACO3B,"SP Distribution",0.92,36.8,32.2,0,"SACO1Q / SACO1R"
SANX30,"SP Distribution",0.97,57.3,53.8,0,"SANX1Q / SANX1R"
SHRU30,"SP Distribution",0.98,74.2,42.4,0,"SHRU2Q / SHRU2R"
SIGH30,"SP Distribution",0.99,107.4,103.5,0,"SIGH2Q / SIGH2R"
SPAV30,"SP Distribution",0.98,44.3,38.8,0,"SPAV1Q / SPAV1R"
STHA30,"SP Distribution",0.98,58.4,47.8,0,STHA20
STIR30,"SP Distribution",0.97,79.6,69,0,"STIR1S / STIR1T"
STLE30,"SP Distribution",0.98,66.1,63.6,0,STLE10
TELR30,"SP Distribution",0.99,39,37.5,0,"TELR1Q / TELR1R"
TONG50,"SP Distribution",0.93,28.4,24,0,TONG10
WFIE30,"SP Distribution",0.93,40.2,27.6,8,WFIE10
WGEO30,"SP Distribution",0.96,99.1,81.3,0,"WGEO2Q / WGEO2R"
WHHO30,"SP Distribution",0.98,68.9,60.8,0,"WHHO2Q / WHHO2R"
WISH10,"SP Distribution",0.98,97.8,79.1,0,WISH20
COCK30,"SP Generation",0.86,13,13,0,COCK20
BIRK10,"SP MANWEB",0.99,285,285,30,BIRK20
CAPE10,"SP MANWEB",0.96,253,247,71,CAPE20
CARR10,"SP MANWEB",0.94,116,110,146,
CASK10,"SP MANWEB",0.92,420,204,657,FROD40
CELL10,"SP MANWEB",0.95,178,178,2,CELL40_SPM
CONQ10,"SP MANWEB",0.93,264,274,65,DEES40
FIDF13,"SP MANWEB",0.94,278,256,24,FIDF20
FROD10,"SP MANWEB",0.96,82,82,22,FROD20
IMPP30,"SP MANWEB",1,90,90,0,IMPP40
INCE10,"SP MANWEB",0.97,108,74,44,FROD20
KIBY10,"SP MANWEB",0.98,386,376,16,KIBY20
LEGA10,"SP MANWEB",0.93,328,325,45,LEGA40
LISD10,"SP MANWEB",1,333,333,7,LISD20
PENT10,"SP MANWEB",0.99,170,170,12,PENT40
RAIN10,"SP MANWEB",0.99,445,445,22,RAIN20
SHOT10,"SP MANWEB",0.99,82,82,252,DEES40
SWAN11,"SP MANWEB",0.91,23.5,16.1,16,SWAN20_SPM
SWAN12,"SP MANWEB",0.91,27.5,18.9,18,SWAN20_SPM
TRAW10,"SP MANWEB",1,82,72,39,TRAW20
WYLF10,"SP MANWEB",0.98,58,63,4,WYLF40
FERR11,"SSE Generation Ltd",0.85,23,4,0,"Station Load"
FERR12,"SSE Generation Ltd",0.85,23,4,0,"Station Load"
ABTH11,"SWALEC (Infralec)",0.98,103.1,100.2,1,ABTH20
ABTH12,"SWALEC (Infralec)",0.98,103.1,100.2,1,ABTH20
ALST30,"SWALEC (Infralec)",0.8,54,1.1,0,
CARE10,"SWALEC (Infralec)",0.98,186.6,181.3,1,CARE20
GRAN60,"SWALEC (Infralec)",0.67,114,3,5,MAGA20
PEMB10,"SWALEC (Infralec)",0.95,197.8,197.7,0,PEMB40
PYLE10,"SWALEC (Infralec)",0.96,155.2,117.9,14,PYLE20
RASS10,"SWALEC (Infralec)",0.97,227.1,227.1,5,RASS40
SWAN11,"SWALEC (Infralec)",0.99,238,230.7,14,SWAN20_SWA
SWAN12,"SWALEC (Infralec)",0.99,279.4,270.8,16,SWAN20_SWA
UPPB10,"SWALEC (Infralec)",0.97,169.6,153.9,2,UPPB20
UPPB30,"SWALEC (Infralec)",0.97,103.4,86,1,UPPB20
USKM10,"SWALEC (Infralec)",0.92,270,256,6,"USKM2A / USKM2C / USKM2D / USKM2E"
MEAD10,"UPM KYMMENE",0.95,22,22,0,MEAD10
ABHA11,"WPD(formerly SWEB)",1,102.3,98.4,0,"ABHA4A / ABHA4B"
ABHA12,"WPD(formerly SWEB)",1,147.3,141.6,0,"ABHA4B / ABHA4A"
ALVE10,"WPD(formerly SWEB)",-1,212,203,0,"ALVE4A / ALVE4B"
AXMI10,"WPD(formerly SWEB)",0.97,108.9,105,0,AXMI40_SWEB
BRWA10,"WPD(formerly SWEB)",0.96,238,228,0,"BRWA2A / BRWA2B"
EXET10,"WPD(formerly SWEB)",1,315,302,0,EXET40
INDQ10,"WPD(formerly SWEB)",1,440,423,0,INDQ40
IROA11,"WPD(formerly SWEB)",0.98,197.8,189.8,0,IROA20_SWEB
IROA12,"WPD(formerly SWEB)",0.98,247.2,237.2,0,IROA20_SWEB
LAND10,"WPD(formerly SWEB)",1,264,253,0,LAND40
MELK10,"WPD(formerly SWEB)",0.98,96,92,0,MELK40_SWEB
SEAB11,"WPD(formerly SWEB)",0.96,293,282,0,SEAB40
TAUN10,"WPD(formerly SWEB)",0.99,129,124,0,TAUN4B
BRAW11,"Yorkshire Electricity",1,232,231,0,BRAW20
BRAW12,"Yorkshire Electricity",1,266,265,3,BRAW20
CAML60,"Yorkshire Electricity",0.96,26,25,0,DRAX40
CREB11,"Yorkshire Electricity",0.94,217,218,4,CREB40
CREB12,"Yorkshire Electricity",0.97,269,269,25,CREB40
DRAX11,"Yorkshire Electricity",0.85,26,21.5,0,DRAX40
DRAX12,"Yorkshire Electricity",0.85,26,21.5,0,DRAX40
ELLA11,"Yorkshire Electricity",0.94,193,171,50,ELLA20
ELLA12,"Yorkshire Electricity",0.94,190,168,5,ELLA20
FERR11,"Yorkshire Electricity",0.94,153,150,59,"FERR20_YED / FERR2A_YED / FERR2B_YED"
FERR12,"Yorkshire Electricity",0.94,160,156,0,FERR20_YED
FERR60,"Yorkshire Electricity",0.97,97,96,3,"FERR20_YED / FERR2A_YED / FERR2B_YED"
GRIW10,"Yorkshire Electricity",0.95,165,147,36,GRIW40
JORD30,"Yorkshire Electricity",0.98,74,71,0,JORD20
KEAD10,"Yorkshire Electricity",0.71,418,332,28,KEAD40
KIRK10,"Yorkshire Electricity",0.95,304,298,4,KIRK20
NEEP30,"Yorkshire Electricity",0.95,88,88,0,NEEP20
NORL30,"Yorkshire Electricity",0.99,72,71,0,"NORL2A / NORL2B"
PITS31,"Yorkshire Electricity",0.93,63,53,0,PITS20
PITS32,"Yorkshire Electricity",0.81,45,6,0,PITS20
SAEN10,"Yorkshire Electricity",0.99,133,112,3,SAEN20
SHEC30,"Yorkshire Electricity",0.96,92,85,0,SHEC20
SKLG10,"Yorkshire Electricity",0.96,645,637,19,SKLG20
THOM60,"Yorkshire Electricity",0.95,144.1,140.1,5,THOM20
THUR60,"Yorkshire Electricity",0.96,183,183,1,THUR20
WIBA30,"Yorkshire Electricity",0.88,37,32,1,WIBA20
WMEL11,"Yorkshire Electricity",0.95,144.1,140.1,10,WMEL20
WMEL12,"Yorkshire Electricity",0.95,144.1,140.1,1,WMEL20
WMEL13,"Yorkshire Electricity",1,366,364,4.1,WMEL20
