Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
LEVE30,"SP Distribution",0.97,43.3,41,0,"LEVE1Q / LEVE1R"
LING30,"SP Distribution",0.97,72.3,64.7,0,"LING1Q / LING1R"
LINM30,"SP Distribution",0.94,55,41.1,20,LINM20
MAYB30,"SP Distribution",0.96,24.5,19.7,1,MAYB10
NEAR30,"SP Distribution",0.98,85.7,83.5,4,NEAR20
NETS30,"SP Distribution",0.89,12.3,10.3,0,NETS10
PART30,"SP Distribution",0.98,50.2,46.3,0,"PART1Q / PART1R"
POOB30,"SP Distribution",0.97,88.8,84.1,3,"POOB2Q / POOB2R"
PORD30,"SP Distribution",0.98,85.8,76.3,0,"PORD2Q / PORD2R"
RAVE30,"SP Distribution",1,23.5,8.9,0,"RAVE2Q / RAVE2R"
REDH30,"SP Distribution",0.98,46.2,42.8,0,REDH10
SACO3A,"SP Distribution",0.93,43.2,36.4,12,"SACO1Q / SACO1R"
SACO3B,"SP Distribution",0.92,36.5,32.1,0,"SACO1Q / SACO1R"
SANX30,"SP Distribution",0.97,57,53.6,0,"SANX1Q / SANX1R"
SHRU30,"SP Distribution",0.98,73.8,42.3,0,"SHRU2Q / SHRU2R"
SIGH30,"SP Distribution",0.99,106.8,103.2,0,"SIGH2Q / SIGH2R"
SPAV30,"SP Distribution",0.98,44,38.7,0,"SPAV1Q / SPAV1R"
STHA30,"SP Distribution",0.98,58,47.6,0,STHA20
STIR30,"SP Distribution",0.97,79.1,68.7,0,"STIR1S / STIR1T"
STLE30,"SP Distribution",0.98,65.6,63.5,0,STLE10
TELR30,"SP Distribution",0.99,38.8,37.4,0,"TELR1Q / TELR1R"
TONG50,"SP Distribution",0.93,28.3,23.9,0,TONG10
WFIE30,"SP Distribution",0.93,39.9,27.5,8,WFIE10
WGEO30,"SP Distribution",0.96,98.5,81.1,0,"WGEO2Q / WGEO2R"
WHHO30,"SP Distribution",0.98,68.4,60.6,0,"WHHO2Q / WHHO2R"
WISH10,"SP Distribution",0.98,97.2,78.9,0,WISH20
COCK30,"SP Generation",0.86,13,13,0,COCK20
BIRK10,"SP MANWEB",0.99,283,283,30,BIRK20
CAPE10,"SP MANWEB",0.96,251,245,71,CAPE20
CARR10,"SP MANWEB",0.94,115,108,146,
CASK10,"SP MANWEB",0.92,420,202,657,FROD40
CELL10,"SP MANWEB",0.95,177,177,2,CELL40_SPM
CONQ10,"SP MANWEB",0.93,262,272,65,DEES40
FIDF13,"SP MANWEB",0.94,275,254,24,FIDF20
FROD10,"SP MANWEB",0.96,81,81,22,FROD20
IMPP30,"SP MANWEB",1,90,90,0,IMPP40
INCE10,"SP MANWEB",0.97,107,74,44,FROD20
KIBY10,"SP MANWEB",0.98,383,373,16,KIBY20
LEGA10,"SP MANWEB",0.93,326,322,45,LEGA40
LISD10,"SP MANWEB",1,331,331,7,LISD20
PENT10,"SP MANWEB",0.99,168,168,12,PENT40
RAIN10,"SP MANWEB",0.99,442,442,22,RAIN20
SHOT10,"SP MANWEB",0.99,82,82,252,DEES40
SWAN11,"SP MANWEB",0.91,23,16.1,16,SWAN20_SPM
SWAN12,"SP MANWEB",0.91,27,18.9,18,SWAN20_SPM
TRAW10,"SP MANWEB",1,82,71,39,TRAW20
WYLF10,"SP MANWEB",0.98,58,63,4,WYLF40
FERR11,"SSE Generation Ltd",0.85,23,4,0,"Station Load"
FERR12,"SSE Generation Ltd",0.85,23,4,0,"Station Load"
ABTH11,"SWALEC (Infralec)",0.98,102,98.9,1,ABTH20
ABTH12,"SWALEC (Infralec)",0.98,102,98.9,1,ABTH20
ALST30,"SWALEC (Infralec)",0.8,54,1.1,0,
CARE10,"SWALEC (Infralec)",0.98,184.5,178.9,1,CARE20
GRAN60,"SWALEC (Infralec)",0.67,113.2,2.8,5,MAGA20
PEMB10,"SWALEC (Infralec)",0.95,196.9,196.7,0,PEMB40
PYLE10,"SWALEC (Infralec)",0.96,153.9,116.8,14,PYLE20
RASS10,"SWALEC (Infralec)",0.97,225.6,225.6,5,RASS40
SWAN11,"SWALEC (Infralec)",0.99,236.2,228.8,14,SWAN20_SWA
SWAN12,"SWALEC (Infralec)",0.99,277.2,268.6,16,SWAN20_SWA
UPPB10,"SWALEC (Infralec)",0.97,166.9,151.3,2,UPPB20
UPPB30,"SWALEC (Infralec)",0.97,102.7,85.4,1,UPPB20
USKM10,"SWALEC (Infralec)",0.92,265,254,6,"USKM2A / USKM2C / USKM2D / USKM2E"
MEAD10,"UPM KYMMENE",0.95,22,22,0,MEAD10
ABHA11,"WPD(formerly SWEB)",1,100.8,98.4,0,"ABHA4A / ABHA4B"
ABHA12,"WPD(formerly SWEB)",1,145.1,141.6,0,"ABHA4B / ABHA4A"
ALVE10,"WPD(formerly SWEB)",-1,208,203,0,"ALVE4A / ALVE4B"
AXMI10,"WPD(formerly SWEB)",0.97,108.1,105,0,AXMI40_SWEB
BRWA10,"WPD(formerly SWEB)",0.96,235,229,0,"BRWA2A / BRWA2B"
EXET10,"WPD(formerly SWEB)",1,308,300,0,EXET40
INDQ10,"WPD(formerly SWEB)",1,431,420,0,INDQ40
IROA11,"WPD(formerly SWEB)",0.98,186.6,182.2,0,IROA20_SWEB
IROA12,"WPD(formerly SWEB)",0.98,233.4,227.8,0,IROA20_SWEB
LAND10,"WPD(formerly SWEB)",1,259,253,0,LAND40
MELK10,"WPD(formerly SWEB)",0.98,93,91,0,MELK40_SWEB
SEAB11,"WPD(formerly SWEB)",0.96,283,276,0,SEAB40
TAUN10,"WPD(formerly SWEB)",0.99,127,124,0,TAUN4B
BRAW11,"Yorkshire Electricity",1,229,229,0,BRAW20
BRAW12,"Yorkshire Electricity",1,264,264,3,BRAW20
CAML60,"Yorkshire Electricity",0.96,26,25,0,DRAX40
CREB11,"Yorkshire Electricity",0.94,214,215,4,CREB40
CREB12,"Yorkshire Electricity",0.97,268,268,25,CREB40
DRAX11,"Yorkshire Electricity",0.85,25.9,21.4,0,DRAX40
DRAX12,"Yorkshire Electricity",0.85,25.9,21.4,0,DRAX40
ELLA11,"Yorkshire Electricity",0.94,192,170,50,ELLA20
ELLA12,"Yorkshire Electricity",0.94,189,167,5,ELLA20
FERR11,"Yorkshire Electricity",0.94,245.5,240.2,59,"FERR20_YED / FERR2A_YED / FERR2B_YED"
FERR12,"Yorkshire Electricity",0.94,248.5,243.2,0,FERR20_YED
FERR60,"Yorkshire Electricity",0.97,96,95,3,"FERR20_YED / FERR2A_YED / FERR2B_YED"
GRIW10,"Yorkshire Electricity",0.95,164,146,36,GRIW40
JORD30,"Yorkshire Electricity",0.98,73,70,0,JORD20
KEAD10,"Yorkshire Electricity",0.71,417,331,28,KEAD40
KIRK10,"Yorkshire Electricity",0.95,300,295,4,KIRK20
NEEP30,"Yorkshire Electricity",0.95,87,87,0,NEEP20
NORL30,"Yorkshire Electricity",0.99,72,71,0,"NORL2A / NORL2B"
PITS31,"Yorkshire Electricity",0.93,61,52,0,PITS20
PITS32,"Yorkshire Electricity",0.81,45,6,0,PITS20
SAEN10,"Yorkshire Electricity",0.99,111,94,3,SAEN20
SHEC30,"Yorkshire Electricity",0.96,90,83,0,SHEC20
SKLG10,"Yorkshire Electricity",0.96,640,632,19,SKLG20
THOM60,"Yorkshire Electricity",0.95,142.4,138.5,5,THOM20
THUR60,"Yorkshire Electricity",0.96,183,183,1,THUR20
WIBA30,"Yorkshire Electricity",0.88,36,32,1,WIBA20
WMEL11,"Yorkshire Electricity",0.95,142.4,138.5,10,WMEL20
WMEL12,"Yorkshire Electricity",0.95,142.4,138.5,1,WMEL20
WMEL13,"Yorkshire Electricity",1,363,360,4.1,WMEL20
